Id,Property,en-US,zh-Hans,zh-Hant,ru-RU,uk-UA
Activate,Text,Activate,启用,啟用,Активировать,Активувати
Browse,Text,Browse,浏览,瀏覽,Обзор,Огляд
Remove,Text,Remove,移除,移除,Удалить,Видалити
Search,Text,Search,搜索,搜索,Поиск,Пошук
Refresh,Text,Refresh,刷新,刷新,Обновить,Оновити
SwitchAccount,Text,Switch Account,切换账户,切換賬戶,Сменить аккаунт,Змінити акаунт
SignIn,Text,Sign in,登入,登入,Войти,Увійти
Add,Text,Add,添加,添加,Добавить,Додати
Back,Text,Back,上一步,上一步,Назад,Назад
Next,Text,Next,下一步,下一步,Далее,Далі
Open,Text,Open,打开,打開,Открыть,Відкрити
Go,Text,Go,前往,前往,Перейти,Перейти
Cancel,Text,Cancel,取消,取消,Отмена,Скасування
Download,Text,Download,下载,下載,Скачать,Завантажити
Confirm,Text,Confirm,确认,确认,Подтвердить,Підтвердити
Detect,Text,Detect,探测,探測,Найти,Знайти
Delete,Text,Delete,删除,刪除,Удалить,Видалити
Launch,Text,Launch,启动,啟動,Запуск,
