Id,Property,en-US,zh-Hans,zh-Hant,ru-RU
T1,Text,Launch Settings,启动设置,啟動設置,Настройки запуска
T2,Text,Account Settings,账户设置,賬戶設置,Настройки учетной записи
T3,Text,JVM Settings,Java 虚拟机设置,Java 虛擬機設置,Настройки JVM
H1,Text,Core Nickname:,核心的昵称:,核心的暱稱:,Основное прозвище:
H2,Text,Enable specific core settings,启用特定核心设置,啟用特定核心設置,Включить определенные основные настройки
H3,Text,Core independent,版本独立,版本獨立,Независимый от ядра
H4,Text,Automatic full screen mode after entering the game,进入游戏后自动全屏模式,進入遊戲後自動全屏模式,Автоматический полноэкранный режим после входа в игру
H5,Text,Game window resolution,游戏窗口分辨率,遊戲窗口分辨率,Разрешение окна игры
H6,Text,The server address to connect after entering the game,进入游戏后自动连接的服务器地址,進入遊戲後自動連接的服務器地址,Адрес сервера для подключения после входа в игру
H7,Text,Game window title,游戏窗口标题,遊戲窗口標題,Заголовок игрового окна
H8,Text,Account used to launch this game,用于启动这个游戏的账户,用於啟動這個遊戲的賬戶,"Учетная запись, используемая для запуска этой игры"
H9,Text,Additional JVM parameter settings,额外 Java 虚拟机参数设置,額外 Java 虛擬機參數設置,Дополнительные настройки параметров JVM
D1,Text,"Only as a display name, the actual Id will not be modified",仅作为显示名称，不会修改实际Id,僅作為顯示名稱，不會修改實際Id,"Только в качестве отображаемого имени, фактический идентификатор не будет изменен."
D2,Text,"Only if you enable this item, the following settings will take effect",只有你启用了这一项，下面的设置才会生效,只有你啟用了這一項，下面的設置才會生效,"Только если вы включите этот пункт, вступят в силу следующие настройки"
D3,Text,The game will run at versions\${version} directory,游戏将运行在 versions\${version} 目录下,遊戲將運行在 versions\${version} 目錄下,Игра будет работать в каталоге version\${version}
D4,Text,"If the selected account cannot be found in the account list after enabling it, an error will be reported",若启用后在账户列表中找不到选中的账户，则会报错,若啟用後在賬戶列表中找不到選中的賬戶，則會報錯,"Если выбранная учетная запись не может быть найдена в списке учетных записей после ее включения, будет сообщено об ошибке"
D5,Text,These will be added to the generated launch parameters,会添加到生成的启动参数中,會添加到生成的啟動參數中,Они будут добавлены к сгенерированным параметрам запуска.
